value,Number
-91,0.00010932546190007652
-90,0.0013119055428009183
-89,0.0017492073904012244
-88,0.0024051601618016835
-87,0.006887504099704822
-86,0.007215480485405051
-85,0.008418060566305893
-84,0.013447031813709412
-83,0.010932546190007653
-82,0.014758937356510331
-81,0.02744069093691921
-80,0.02864327101782005
-79,0.025691483546517985
-78,0.040231769979228164
-77,0.057177216573740024
-76,0.05947305127364163
-75,0.11304252760467913
-74,0.11686891877118182
-73,0.08505520935825954
-72,0.09063080791516344
-71,0.07270143216355089
-70,0.04121569913632885
-69,0.032797638570022956
-68,0.03782660981742648
-67,0.025691483546517985
-66,0.03017382748442112
-65,0.03870121351262709
-64,0.007215480485405051
-63,0.0015305564666010713
-62,0.0006559527714004591
