T,RSSI,MedianRSSI
1,-66,-66
2,-58,-58
3,-51,-51
4,-51,-51
5,-52,-51
6,-59,-52
7,-58,-58
8,-65,-58
9,-75,-58
10,-60,-59
11,-67,-60
12,-71,-65
13,-72,-67
14,-71,-71
15,-74,-71
16,-66,-71
17,-75,-71
18,-68,-71
19,-69,-71
20,-67,-69
21,-74,-69
22,-68,-68
23,-61,-68
24,-69,-68
25,-62,-68
26,-62,-67
27,-70,-68
28,-70,-68
29,-69,-69
30,-66,-69
31,-70,-69
32,-70,-70
33,-68,-70
34,-75,-70
35,-68,-69
36,-71,-70
37,-70,-70
38,-69,-70
39,-76,-70
40,-76,-71
41,-69,-70
42,-70,-70
43,-81,-70
44,-75,-75
45,-70,-75
46,-70,-70
47,-64,-70
48,-75,-70
49,-64,-70
50,-66,-70
51,-65,-66
52,-69,-66
53,-72,-66
54,-64,-66
55,-63,-65
56,-66,-66
57,-65,-65
58,-74,-66
59,-63,-65
60,-65,-65
61,-72,-65
62,-62,-65
63,-62,-65
64,-64,-64
65,-72,-64
66,-65,-65
67,-69,-65
68,-75,-65
69,-71,-69
70,-64,-69
71,-62,-69
72,-68,-68
73,-62,-68
74,-60,-64
75,-61,-62
76,-62,-62
77,-67,-62
78,-59,-62
79,-59,-61
80,-66,-61
81,-62,-62
82,-66,-62
83,-60,-62
84,-68,-62
85,-60,-62
86,-68,-66
87,-62,-62
88,-62,-62
89,-60,-62
90,-62,-62
91,-61,-62
92,-71,-62
93,-61,-62
94,-62,-62
95,-60,-61
96,-61,-61
97,-62,-61
98,-62,-62
99,-63,-62
100,-63,-62
101,-66,-62
102,-58,-62
103,-65,-63
104,-59,-63
105,-72,-63
106,-72,-65
107,-74,-66
108,-80,-72
109,-61,-72
110,-64,-72
111,-69,-72
112,-65,-69
113,-62,-65
114,-74,-65
115,-69,-65
116,-71,-69
117,-65,-69
118,-62,-65
119,-67,-67
120,-71,-69
121,-83,-69
122,-74,-71
123,-77,-71
124,-76,-74
125,-77,-76
126,-81,-77
127,-81,-77
128,-76,-77
129,-81,-77
130,-78,-78
131,-86,-81
132,-86,-81
133,-86,-81
134,-85,-85
135,-85,-85
136,-84,-85
137,-84,-85
138,-84,-85
139,-87,-85
140,-85,-85
141,-88,-85
142,-88,-85
143,-88,-87
144,-86,-87
145,-88,-88
146,-85,-88
147,-88,-88
148,-87,-88
149,-91,-88
150,-87,-87
151,-90,-88
152,-89,-88
153,-89,-89
154,-89,-89
155,-89,-89
156,-89,-89
157,-88,-89
158,-88,-89
159,-88,-89
160,-88,-88
161,-87,-88
162,-86,-88
163,-86,-88
164,-81,-87
165,-84,-86
166,-86,-86
167,-89,-86
168,-84,-86
169,-84,-84
170,-84,-84
171,-83,-84
172,-83,-84
173,-86,-84
174,-83,-84
175,-88,-84
176,-88,-84
177,-87,-86
178,-87,-87
179,-89,-87
180,-84,-87
181,-89,-88
182,-90,-88
183,-84,-87
184,-84,-87
185,-88,-88
186,-90,-88
187,-88,-88
188,-88,-88
189,-78,-88
190,-80,-88
191,-80,-88
192,-87,-87
193,-85,-85
194,-89,-85
195,-82,-82
196,-82,-82
197,-83,-83
198,-81,-83
199,-85,-83
200,-89,-83
201,-87,-83
202,-88,-85
203,-83,-85
204,-86,-86
205,-82,-86
206,-82,-86
207,-88,-86
208,-82,-83
209,-85,-83
210,-86,-85
211,-83,-83
212,-84,-84
213,-83,-84
214,-83,-83
215,-74,-83
216,-75,-83
217,-83,-83
218,-77,-83
219,-83,-83
220,-81,-81
221,-83,-81
222,-77,-81
223,-76,-81
224,-82,-81
225,-78,-81
226,-80,-80
227,-86,-80
228,-85,-80
229,-83,-82
230,-77,-82
231,-81,-81
232,-78,-81
233,-74,-81
234,-85,-81
235,-81,-81
236,-77,-78
237,-85,-81
238,-83,-81
239,-81,-81
240,-74,-81
241,-83,-81
242,-69,-81
243,-75,-81
244,-75,-75
245,-71,-75
246,-68,-74
247,-73,-73
248,-74,-73
249,-75,-74
250,-72,-73
251,-66,-72
252,-61,-72
253,-70,-72
254,-58,-70
255,-61,-66
256,-61,-61
257,-62,-61
258,-59,-61
259,-59,-61
260,-67,-61
261,-62,-61
262,-67,-62
263,-67,-62
264,-61,-62
265,-65,-65
266,-65,-65
267,-77,-65
268,-69,-67
269,-65,-65
270,-61,-65
271,-60,-65
272,-64,-65
273,-71,-65
274,-70,-65
275,-61,-64
276,-56,-61
277,-62,-62
278,-58,-62
279,-64,-62
280,-59,-61
281,-65,-61
282,-67,-62
283,-56,-62
284,-65,-64
285,-66,-65
286,-61,-65
287,-62,-65
288,-59,-62
289,-52,-61
290,-56,-61
291,-60,-60
292,-55,-59
293,-57,-57
294,-48,-56
295,-47,-55
296,-51,-55
297,-47,-51
298,-51,-51
299,-50,-50
300,-47,-48
301,-47,-47
302,-45,-47
303,-38,-47
304,-36,-47
305,-39,-45
306,-35,-39
